Valores izquierda (0 a -179 grados):
Angle  Modulo  Coord_x Coord_y:
31.1111 0.496128 0.256349 0.424769
31.2222 0.50539 0.261973 0.432191
31.3333 0.485097 0.252258 0.414349
31.4444 0.496959 0.259249 0.423978
31.5556 0.496371 0.259763 0.422974
31.6667 0.497245 0.261042 0.423213
31.7778 0.508995 0.26805 0.432695
31.8889 0.498038 0.2631 0.422871
32 0.494364 0.261973 0.419244
32.1111 0.497354 0.264375 0.421268
32.2222 0.503157 0.268286 0.425664
32.3333 0.49487 0.264678 0.41814
32.4444 0.497067 0.266667 0.419481
32.5556 0.488135 0.262674 0.411434
32.6667 0.498228 0.268919 0.419421
32.7778 0.508298 0.275184 0.427365
32.8889 0.497392 0.27009 0.417673
33 0.498057 0.271261 0.417705
33.1111 0.513318 0.280407 0.429961
33.2222 0.489651 0.268274 0.409618
33.3333 0.49526 0.27215 0.413784
33.4444 0.488847 0.269417 0.407904
33.5556 0.49844 0.27551 0.415375
33.6667 0.509343 0.28236 0.423915
33.7778 0.495243 0.275342 0.411646
33.8889 0.482831 0.269219 0.400808
34 0.511804 0.286197 0.424305
34.1111 0.504188 0.282749 0.417443
34.2222 0.501815 0.282223 0.414932
34.3333 0.498239 0.28101 0.411431
34.4444 0.510159 0.28855 0.420716
34.5556 0.504114 0.285936 0.415177
34.6667 0.504415 0.286912 0.414869
34.7778 0.499975 0.285183 0.410664
34.8889 0.501339 0.286759 0.41123
35 0.474284 0.272038 0.38851
35.1111 0.492993 0.283552 0.403287
35.2222 0.49525 0.285635 0.404581
35.3333 0.512442 0.296362 0.418051
35.4444 0.507396 0.294246 0.413365
35.5556 0.507447 0.295076 0.412835
35.6667 0.496415 0.289444 0.403299
35.7778 0.515453 0.301356 0.418182
35.8889 0.511221 0.299685 0.414168
36 0.506744 0.297857 0.409965
36.1111 0.482642 0.284447 0.389915
36.2222 0.504123 0.297896 0.406692
36.3333 0.497511 0.294766 0.400787
36.4444 0.505698 0.300406 0.4068
36.5556 0.510075 0.303802 0.409733
36.6667 0.504202 0.301089 0.404432
36.7778 0.496591 0.297315 0.397751
36.8889 0.516059 0.309772 0.412744
37 0.521882 0.314076 0.416793
37.1111 0.499402 0.30132 0.398256
37.2222 0.500789 0.302931 0.398776
37.3333 0.51129 0.310072 0.406537
37.4444 0.514612 0.31288 0.408573
37.5556 0.493833 0.301006 0.391493
37.6667 0.513913 0.314035 0.406803
37.7778 0.517038 0.316737 0.408663
37.8889 0.481822 0.295902 0.380255
38 0.493405 0.303771 0.388809
38.1111 0.503108 0.310512 0.395853
38.2222 0.498912 0.308684 0.391954
38.3333 0.528988 0.328097 0.414946
38.4444 0.507897 0.315788 0.397791
38.5556 0.498058 0.310426 0.389483
38.6667 0.495085 0.309323 0.386559
38.7778 0.514691 0.322352 0.401243
38.8889 0.505735 0.317506 0.393646
39 0.513634 0.32324 0.399168
39.1111 0.530552 0.334686 0.411668
39.2222 0.512298 0.323941 0.396877
39.3333 0.509974 0.323237 0.39445
39.4444 0.485993 0.308766 0.375303
39.5556 0.509215 0.324281 0.392609
39.6667 0.495749 0.316447 0.381613
39.7778 0.496874 0.317906 0.381863
39.8889 0.527479 0.338273 0.404729
40 0.487911 0.313623 0.373761
40.1111 0.514768 0.331651 0.393693
40.2222 0.492566 0.318076 0.376097
40.3333 0.50532 0.32706 0.385201
40.4444 0.511169 0.331601 0.389017
40.5556 0.503751 0.327531 0.382738
40.6667 0.50438 0.328683 0.382579
40.7778 0.507876 0.331708 0.384588
40.8889 0.516126 0.337853 0.390181
41 0.520172 0.341263 0.392579
41.1111 0.504389 0.331647 0.380025
41.2222 0.513464 0.338363 0.386207
41.3333 0.506763 0.334686 0.380518
41.4444 0.516984 0.342189 0.38753
41.5556 0.507835 0.33687 0.380019
41.6667 0.514037 0.34173 0.383999
41.7778 0.499362 0.332696 0.372391
41.8889 0.518585 0.346253 0.386056
42 0.518649 0.347044 0.385431
42.1111 0.506296 0.339507 0.375594
42.2222 0.511239 0.343557 0.378595
42.3333 0.504135 0.339506 0.372676
42.4444 0.509628 0.343935 0.376071
42.5556 0.530695 0.358912 0.390922
42.6667 0.501454 0.339851 0.368724
42.7778 0.507631 0.344761 0.372598
42.8889 0.51425 0.349988 0.376778
43 0.519763 0.354477 0.38013
43.1111 0.489254 0.334364 0.35717
43.2222 0.495297 0.339194 0.360924
43.3333 0.520961 0.357505 0.378933
43.4444 0.521464 0.358585 0.378604
43.5556 0.521379 0.35926 0.377847
43.6667 0.498685 0.344323 0.360733
43.7778 0.507978 0.351451 0.366774
43.8889 0.508445 0.352486 0.366429
44 0.530371 0.368427 0.381517
44.1111 0.522967 0.364012 0.375486
44.2222 0.533612 0.372164 0.382408
44.3333 0.517677 0.361769 0.370288
44.4444 0.517832 0.362595 0.369695
44.5556 0.506079 0.355065 0.360617
44.6667 0.523388 0.367932 0.372238
44.7778 0.511183 0.360056 0.36286
44.8889 0.530864 0.374649 0.376105
45 0.513222 0.362903 0.362903
45.1111 0.534486 0.378671 0.377205
45.2222 0.540002 0.383318 0.380356
45.3333 0.519956 0.369797 0.365519
45.4444 0.522719 0.372474 0.36674
45.5556 0.523321 0.373614 0.366438
45.6667 0.505173 0.361343 0.353031
45.7778 0.52603 0.376974 0.366876
45.8889 0.520862 0.373974 0.362547
46 0.531268 0.382162 0.36905
46.1111 0.533701 0.38463 0.369994
46.2222 0.525038 0.379093 0.363255
46.3333 0.536842 0.388335 0.370669
46.4444 0.526446 0.381519 0.362751
46.5556 0.531317 0.385758 0.365361
46.6667 0.520593 0.378666 0.357253
46.7778 0.530922 0.386884 0.363591
46.8889 0.508755 0.371406 0.347691
47 0.523385 0.38278 0.356948
47.1111 0.52161 0.38217 0.354997
47.2222 0.525034 0.385371 0.35658
47.3333 0.524268 0.385499 0.355313
47.4444 0.522496 0.384882 0.353366
47.5556 0.53776 0.39683 0.362921
47.6667 0.504563 0.372993 0.339794
47.7778 0.525594 0.389225 0.353203
Pendents (m), Intersecció (b), Distància entre extrems (m)
-0.501889, 0.553308, 0.495811
x_extrem_izq: -0.0539064
y_extrem_izq: 0.516363
x_extrem_der: 0.389225
y_extrem_der: 0.29396
Resultats càlculs trigonomètrics:
giro_inicial (radians): -0.354605
giro_inicial (graus): -20.3174
avance: 0.289084
giro_final (radians): -0.110556
giro_final (graus): -6.3344
alfa (radians): 1.21619
alfa (graus): 69.6828
tecta (radians): 1.10564
tecta (graus): 63.3484
Pdx: 0.100375
Pdy: 0.271099
M_PI_2: 1.5708
M_PI: 3.14159
